Method Time Sample
pruneOptimized_caso_medio 1661113 2000
pruneOptimized_caso_medio 342428 1000
pruneOptimized_caso_medio 3525786 5000
pruneOptimized_caso_medio 3606510 4000
pruneOptimized_caso_medio 1486055 3000
pruneOptimized_caso_medio 4956408 7000
pruneOptimized_caso_medio 13338596 6000
pruneOptimized_caso_medio 14522375 8000
pruneOptimized_caso_medio 15746917 11000
pruneOptimized_caso_medio 14110697 10000
pruneOptimized_caso_medio 14856890 9000
pruneOptimized_caso_medio 25560411 15000
pruneOptimized_caso_medio 23046921 13000
pruneOptimized_caso_medio 28860400 16000
pruneOptimized_caso_medio 32390383 12000
pruneOptimized_caso_medio 30008711 14000
pruneOptimized_caso_medio 32948332 17000
pruneOptimized_caso_medio 34973580 18000
pruneOptimized_caso_medio 36734029 22000
pruneOptimized_caso_medio 41451186 19000
pruneOptimized_caso_medio 44707738 21000
pruneOptimized_caso_medio 45341558 20000
pruneOptimized_caso_medio 41615979 24000
pruneOptimized_caso_medio 44864385 25000
pruneOptimized_caso_medio 58635271 23000
pruneOptimized_caso_medio 57138606 26000
pruneOptimized_caso_medio 62756849 27000
pruneOptimized_caso_medio 55872461 28000
pruneOptimized_caso_medio 55334130 29000
pruneOptimized_caso_medio 61902101 32000
pruneOptimized_caso_medio 66375188 30000
pruneOptimized_caso_medio 72530496 31000
pruneOptimized_caso_medio 66605325 34000
pruneOptimized_caso_medio 75562780 33000
pruneOptimized_caso_medio 84488176 35000
pruneOptimized_caso_medio 77844125 38000
pruneOptimized_caso_medio 73687598 40000
pruneOptimized_caso_medio 98405377 36000
pruneOptimized_caso_medio 99159499 37000
pruneOptimized_caso_medio 92219948 39000
pruneOptimized_caso_medio 82633814 41000
pruneOptimized_caso_medio 98895406 42000
pruneOptimized_caso_medio 85823566 44000
pruneOptimized_caso_medio 97900638 43000
pruneOptimized_caso_medio 109886332 45000
pruneOptimized_caso_medio 101205327 47000
pruneOptimized_caso_medio 113229053 46000
pruneOptimized_caso_medio 112857604 48000
pruneOptimized_caso_medio 122247658 50000
pruneOptimized_caso_medio 121797811 52000
pruneOptimized_caso_medio 131969868 49000
pruneOptimized_caso_medio 115806482 53000
pruneOptimized_caso_medio 139928756 51000
pruneOptimized_caso_medio 118123115 54000
pruneOptimized_caso_medio 123154956 56000
pruneOptimized_caso_medio 143035680 55000
pruneOptimized_caso_medio 145547612 57000
pruneOptimized_caso_medio 137438449 59000
pruneOptimized_caso_medio 145173331 58000
pruneOptimized_caso_medio 135522639 62000
pruneOptimized_caso_medio 164513956 60000
pruneOptimized_caso_medio 155469792 63000
pruneOptimized_caso_medio 179605776 61000
pruneOptimized_caso_medio 168737916 64000
pruneOptimized_caso_medio 173950958 65000
pruneOptimized_caso_medio 167697918 69000
pruneOptimized_caso_medio 193740285 66000
pruneOptimized_caso_medio 185935402 68000
pruneOptimized_caso_medio 188827223 67000
pruneOptimized_caso_medio 190865876 70000
pruneOptimized_caso_medio 180789223 71000
pruneOptimized_caso_medio 200033172 72000
pruneOptimized_caso_medio 200809049 74000
pruneOptimized_caso_medio 209128965 73000
pruneOptimized_caso_medio 203492899 75000
pruneOptimized_caso_medio 188831359 77000
pruneOptimized_caso_medio 187796873 76000
pruneOptimized_caso_medio 173650286 78000
pruneOptimized_caso_medio 177804289 79000
pruneOptimized_caso_medio 203462940 80000
pruneOptimized_caso_medio 200030870 81000
pruneOptimized_caso_medio 189716093 84000
pruneOptimized_caso_medio 235735726 82000
pruneOptimized_caso_medio 220016116 83000
pruneOptimized_caso_medio 218322692 85000
pruneOptimized_caso_medio 212682039 86000
pruneOptimized_caso_medio 241935137 87000
pruneOptimized_caso_medio 243841433 88000
pruneOptimized_caso_medio 234106635 89000
pruneOptimized_caso_medio 212828259 92000
pruneOptimized_caso_medio 247528729 90000
pruneOptimized_caso_medio 226317850 91000
pruneOptimized_caso_medio 205413071 95000
pruneOptimized_caso_medio 227968274 93000
pruneOptimized_caso_medio 211886450 94000
pruneOptimized_caso_medio 180480070 96000
pruneOptimized_caso_medio 147848909 97000
pruneOptimized_caso_medio 156074685 98000
pruneOptimized_caso_medio 124921488 100000
pruneOptimized_caso_medio 123129160 99000
